,Datetime
1316,2020-01-27 11:15:00
1559,2020-01-30 11:15:00
1640,2020-01-31 11:15:00
2855,2020-02-24 11:15:00
2936,2020-02-25 11:15:00
3179,2020-02-28 11:15:00
5204,2020-04-03 11:15:00
5609,2020-04-13 11:15:00
5771,2020-04-15 11:15:00
6095,2020-04-21 11:15:00
6338,2020-04-24 11:15:00
7391,2020-05-13 11:15:00
7877,2020-05-21 11:15:00
8120,2020-05-27 11:15:00
8282,2020-05-29 11:15:00
8444,2020-06-02 11:15:00
9011,2020-06-11 11:15:00
9092,2020-06-12 11:15:00
9740,2020-06-24 11:15:00
9902,2020-06-26 11:15:00
10226,2020-07-02 11:15:00
10469,2020-07-08 11:15:00
10550,2020-07-09 11:15:00
10793,2020-07-14 11:15:00
11279,2020-07-22 11:15:00
12332,2020-08-10 11:15:00
13790,2020-09-03 11:15:00
13871,2020-09-04 11:15:00
14600,2020-09-18 11:15:00
14681,2020-09-21 11:15:00
14843,2020-09-23 11:15:00
16463,2020-10-21 11:15:00
16706,2020-10-26 11:15:00
16868,2020-10-28 11:15:00
17030,2020-10-30 11:15:00
17840,2020-11-13 11:15:00
18326,2020-11-23 11:15:00
18650,2020-11-30 11:15:00
18752,2021-01-04 11:15:00
19012,2021-01-05 11:15:00
19013,2021-01-05 11:15:00
23817,2021-01-19 11:15:00
25366,2021-01-25 11:15:00
26912,2021-01-29 11:15:00
29901,2021-02-10 11:15:00
31441,2021-02-17 11:15:00
35912,2021-03-05 11:15:00
